English_Name,Chinese_Name,Gender,Alignment,Power_Type,Detailed_Power,MCU_Presence,Movie_Count,Primary_Team,Mentor_CN,Risk_Level,Social_Style,hero,degree_score,betweenness_score,faction_id,Cross_Index,Loyalty_Score
CAPTAIN AMERICA,美国队长,男,正派,科技,通过超级士兵血清获得远超常人的力量、速度、耐力、敏捷和自愈能力，精通各种格斗技巧和战术，使用振金盾牌作为主要武器。,是,10,复仇者联盟,亚伯拉罕·厄斯金博士,2,团队核心,CAPTAIN AMERICA,0.3114575214341387,0.0769902855156325,8,0.9544,0.1277
IRON MAN/TONY STARK ,钢铁侠/托尼·斯塔克,男,正派,科技,依靠高科技战甲，具备飞行、能量炮、防御力场、人工智能辅助战斗等能力。,是,10,复仇者联盟,霍华德·斯塔克,7,团队核心,IRON MAN/TONY STARK ,0.2367887763055339,0.0376471052086824,0,0.9379,0.1567
THING/BENJAMIN J. GRIMM,石头人/本杰明·雅各布·格林,男,正派,变异,全身覆盖岩石皮肤，拥有超强力量和防御力，可承受极端物理冲击，但行动相对笨重。,否,0,神奇四侠,里德·理查兹,3,团队核心,THING/BENJAMIN J. GRIMM,0.2204208885424785,0.0239571619179534,5,0.9308,0.1704
MR. FANTASTIC/REED RICHARDS,神奇先生/里德·理查兹,男,正派,变异,身体具有超强弹性和可塑性，能随意拉伸、变形，智力超群，是顶尖科学家和发明家。,是,1,神奇四侠,无,3,团队核心,MR. FANTASTIC/REED RICHARDS,0.2143413873733437,0.0220068202470423,5,0.928,0.1775
WOLVERINE/LOGAN,金刚狼/罗根,男,正派,变异,拥有超强自愈因子、艾德曼合金骨骼与可伸缩的利爪，感官敏锐，战斗经验丰富。,否,约10部,X战警,X教授,7,孤傲,WOLVERINE/LOGAN,0.2130943102104442,0.0330959168115711,12,0.9266,0.1748
HUMAN TORCH/JOHNNY STORM,霹雳火/约翰尼·斯托姆,男,正派,变异,全身产生并控制火焰，飞行，发射火球，形成火焰屏障，免疫高温伤害。,否,0,神奇四侠,里德·理查兹,4,冲动热情,HUMAN TORCH/JOHNNY STORM,0.2118472330475448,0.0214081496997398,5,0.9277,0.1759
WANDA MAXIMOFF/SCARLET WITCH,绯红女巫/旺达·马克西莫夫,女,正派/反派,魔法/变异,混沌魔法，现实扭曲，能量投射，心灵感应，飞行，概率操控，创造幻象。,是,5,复仇者联盟,阿加莎·哈克尼斯,9,孤傲/情感驱动,WANDA MAXIMOFF/SCARLET WITCH,0.20576773187841,0.0165439444275279,0,0.9209,0.0
THOR/ORINSSON,雷神/唐纳德·布莱克博士,男,正派,神力,拥有雷神之力，可操控雷电、飞行、超强力量与耐力，使用雷神之锤姆乔尔尼尔。,是,8,复仇者联盟,奥丁,9,团队核心,THOR/ORINSSON,0.2009353078721746,0.0221400288245766,6,0.922,0.18
BEAST/HENRY &HANK& P,野兽/亨利·菲利普·“汉克”·麦考伊,男,正派,变异,拥有超人的力量、速度、敏捷性和耐力，手脚巨大且能攀爬，智力极高，是遗传学专家。,是,约5部,X战警,X教授,3,团队核心/学者型,BEAST/HENRY &HANK& P,0.1968823070927513,0.022631541265106,12,0.9196,0.1853
VISION,幻视,非人类,正派,科技/宇宙能量,由振金和心灵宝石构成，拥有飞行、密度控制、能量发射、超强计算和网络连接能力。,是,4,复仇者联盟,托尼·斯塔克,4,理性温和,VISION,0.1926734216679657,0.0109252891357813,0,0.9134,0.1861
